2000	63	61	100319	0.9682539683	7.937253933	7.810249676	316.7317477	0.1739261709	334.3966667	1.055772492
1950	54	51	41281	0.9444444444	7.348469228	7.141428429	203.1772625	0.184411966	137.6033333	0.6772575417
1900	69	69	17769	1	8.306623863	8.306623863	133.3004126	0.1702513062	59.23	0.4443347087
1850	56	50	8545	0.8928571429	7.483314774	7.071067812	92.43916919	0.1737224295	28.48333333	0.308130564
1820	66	25	4399	0.3787878788	8.124038405	5	66.3249576	0.08895590803	14.66333333	0.221083192
1870	72	71	12388	0.9861111111	8.485281374	8.426149773	111.3013926	0.1649295403	41.29333333	0.3710046421
1835	62	38	6475	0.6129032258	7.874007874	6.164414003	80.4673847	0.1262711873	21.58333333	0.2682246157
1795	63	9	1936	0.1428571429	7.937253933	3	44	0.05090690322	6.453333333	0.1466666667
