1950	28	27	66697	0.9642857143	5.291502622	5.196152423	258.2576233	0.2600915123	222.3233333	0.8608587444
1920	41	38	36292	0.9268292683	6.403124237	6.164414003	190.5045931	0.2087034166	120.9733333	0.6350153104
1890	31	17	21625	0.5483870968	5.567764363	4.123105626	147.0544117	0.1655017303	72.08333333	0.4901813723
1860	46	5	12561	0.1086956522	6.782329983	2.236067977	112.0758672	0.05118389628	41.87	0.3735862239
1875	35	12	17012	0.3428571429	5.916079783	3.464101615	130.4300579	0.1146931513	56.70666667	0.4347668596
1905	36	31	28751	0.8611111111	6	5.567764363	169.5611984	0.2109912753	95.83666667	0.5652039946
1935	42	40	49882	0.9523809524	6.480740698	6.32455532	223.3427859	0.2104083575	166.2733333	0.7444759529
1975	42	42	110542	1	6.480740698	6.480740698	332.4785707	0.2182178902	368.4733333	1.108261902
1965	31	31	89639	1	5.567764363	5.567764363	299.3977288	0.254000254	298.7966667	0.9979924293
1895	24	17	23654	0.7083333333	4.898979486	4.123105626	153.7985696	0.224543003	78.84666667	0.5126618985
